Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4
42160,751.793,276.4470167,194.5797695,1.420738741,0.710339538,42462,231.6889708,0.77877937,0.992887758,0.937376175,0.838095392,0.006557092,0.00199556,0.702403886,0.997932412
29279,641.766,232.0582722,161.1945323,1.439616275,0.719367634,29647,193.0781723,0.728333333,0.987587277,0.893331594,0.832024519,0.007925758,0.002342961,0.6922648,0.996595673
50011,834.774,308.9094629,206.6630549,1.49474933,0.743254757,50530,252.3410051,0.794733664,0.989728874,0.90185678,0.816876902,0.00617683,0.00169657,0.667287874,0.997428102
76939,1075.973,411.3313285,240.8925726,1.707530141,0.810570407,78365,312.988462,0.751636349,0.981803101,0.835129172,0.760915691,0.005346201,0.001105532,0.578992689,0.988647467
48100,854.778,349.8659196,175.74183,1.99079479,0.864686482,48563,247.4728714,0.827370304,0.990465993,0.827271892,0.707336318,0.00727372,0.001123156,0.500324667,0.996043741
40091,727.083,261.3132862,195.560116,1.336229961,0.663276781,40500,225.9323938,0.786823151,0.989901235,0.952990941,0.864603546,0.006518004,0.00224679,0.747539291,0.998884398
57150,956.504,396.9845225,184.0545577,2.156885043,0.886028085,57820,269.7510704,0.67861214,0.988412314,0.784969021,0.67950022,0.006946361,0.000913473,0.461720549,0.995878146
48327,837.928,313.5705305,196.7840611,1.593475248,0.778568874,48960,248.0561378,0.68915508,0.987071078,0.864940622,0.791069675,0.006488516,0.001567415,0.625791231,0.997182837
48959,885.222,358.5253123,174.5640116,2.053832912,0.873460773,49648,249.6728557,0.709550725,0.986122301,0.785123552,0.696388364,0.00732297,0.001062363,0.484956754,0.996020141
35042,676.65,225.6145213,197.8959341,1.140066481,0.480231413,35380,211.2270346,0.800045662,0.99044658,0.961768562,0.936229784,0.006438403,0.00305132,0.876526209,0.999298151
71972,1089.578,405.9336822,228.7808075,1.774334511,0.826053585,73618,302.7170238,0.693692652,0.977641338,0.761827743,0.745730244,0.005640161,0.001075965,0.556113597,0.986731546
66768,980.172,372.0655423,229.5447672,1.620884444,0.787004602,67547,291.5675872,0.802307138,0.988467289,0.873320485,0.783645767,0.005572513,0.001296313,0.614100688,0.995386252
30292,637.514,226.7606292,170.5992779,1.329200404,0.658784153,30617,196.3898477,0.807399115,0.989384982,0.93660907,0.866066779,0.007485826,0.002597915,0.750071666,0.996995562
50828,849.895,316.3401362,205.6221725,1.538453428,0.759931277,51301,254.3938277,0.694846206,0.990779907,0.884264799,0.804178157,0.006223738,0.00160561,0.646702508,0.994921691
29085,637.8,234.3289414,158.7182871,1.476382751,0.735678284,29566,192.43745,0.713532211,0.983731313,0.898483079,0.821227838,0.008056694,0.002260431,0.674415163,0.995694913
90605,1257.955,448.3872967,261.2696053,1.716186221,0.812696409,93234,339.6496267,0.736769776,0.971802132,0.719501688,0.757491636,0.004948814,0.001005061,0.573793578,0.984736632
40362,760.534,277.919317,185.9394585,1.494676381,0.743225365,40984,226.6947165,0.732217042,0.984823346,0.876890316,0.815685354,0.006885668,0.001880254,0.665342597,0.994471865
33686,678.056,246.4267581,174.4051059,1.412956099,0.70647693,34106,207.0998486,0.790194699,0.987685451,0.920721282,0.840411367,0.007315406,0.002251054,0.706291266,0.997958552
33380,667.768,246.9378447,172.4005594,1.43234944,0.715947953,33734,206.1570663,0.795367899,0.989506136,0.940686669,0.834854077,0.007397778,0.002216784,0.696981329,0.998320817
44322,814.909,302.1163116,188.5032824,1.602711146,0.781470053,45272,237.5553054,0.684509653,0.979015727,0.838708385,0.786304136,0.006816396,0.0016073,0.618274194,0.990914942
98270,1195.813,465.2029826,271.949324,1.710623787,0.811334579,99879,353.7248225,0.719905644,0.983890508,0.863583387,0.760366627,0.004733927,0.000976098,0.578157407,0.989009813
39703,749.138,275.8573448,183.58117,1.502645096,0.746403968,40147,224.8364509,0.72593798,0.988940643,0.88901591,0.815046092,0.006948023,0.00189134,0.664300132,0.998207336
80420,1161.915,413.4325044,248.2234946,1.665565563,0.799702352,82080,319.9905064,0.679733922,0.979775828,0.748557586,0.773984878,0.005140916,0.001138021,0.599052591,0.997761366
